"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"1","GI_1 vs GI_2",1,0.119045635634125,0.986044110572612,0.141144844631076,0.472,0.550666666666667,""
"2","GI_1 vs GI_3",1,0.320601696050322,2.08373264932536,0.22939167518103,0.07,0.0933333333333333,""
"3","GI_1 vs GI_4",1,0.374708286371344,2.73762257128125,0.281138702105296,0.047,0.0672,""
"4","GI_1 vs HG_1",1,0.689207447501633,6.55974441149187,0.483766080865985,0.01,0.0256666666666667,"."
"5","GI_1 vs HG_2",1,0.614377709993278,5.42651112606622,0.436688228177208,0.009,0.0256666666666667,"."
"6","GI_1 vs HG_3",1,0.744567874098033,6.70273328143572,0.489153013765253,0.011,0.0256666666666667,"."
"7","GI_1 vs ST",1,0.373005305081125,2.75750341983667,0.314873233573696,0.079,0.100545454545455,""
"8","GI_2 vs GI_3",1,0.220891240651211,1.5530449416098,0.181578017210499,0.179,0.217913043478261,""
"9","GI_2 vs GI_4",1,0.362720136832789,2.8960765562195,0.292648964442314,0.039,0.0606666666666667,""
"10","GI_2 vs HG_1",1,0.805106857233078,8.61648685166185,0.551755777948541,0.008,0.0256666666666667,"."
"11","GI_2 vs HG_2",1,0.720512975406389,7.09239226793126,0.503278090269368,0.006,0.0256666666666667,"."
"12","GI_2 vs HG_3",1,0.877524291227922,8.82324483084594,0.557612861658176,0.014,0.028,"."
"13","GI_2 vs ST",1,0.452509544992625,3.71814892573503,0.382598471596668,0.029,0.05075,""
"14","GI_3 vs GI_4",1,0.117682966461,0.765822666528567,0.0873646086239898,0.589,0.65968,""
"15","GI_3 vs HG_1",1,0.5881144209535,4.67361299883782,0.368767217309412,0.01,0.0256666666666667,"."
"16","GI_3 vs HG_2",1,0.5353378405114,4.02600873356248,0.334775138016206,0.01,0.0256666666666667,"."
"17","GI_3 vs HG_3",1,0.6719658448017,5.12548145938251,0.39049854858609,0.009,0.0256666666666667,"."
"18","GI_3 vs ST",1,0.652191308046517,4.21604216710014,0.375893929809483,0.011,0.0256666666666667,"."
"19","GI_4 vs HG_1",1,0.2745273382301,2.4737828533758,0.236188098226466,0.031,0.0510588235294118,""
"20","GI_4 vs HG_2",1,0.2532887833124,2.14456379675075,0.211400296722235,0.048,0.0672,""
"21","GI_4 vs HG_3",1,0.3593619698259,3.09153915300092,0.278729499157425,0.015,0.028,"."
"22","GI_4 vs ST",1,0.674065380223761,4.89492199225328,0.411513584993761,0.008,0.0256666666666667,"."
"23","HG_1 vs HG_2",1,0.0134089740031,0.148533285446411,0.018228223441352,0.945,0.945,""
"24","HG_1 vs HG_3",1,0.0158115537543,0.178845539664798,0.0218668440181997,0.911,0.944740740740741,""
"25","HG_1 vs ST",1,0.898308962032717,8.48264201704589,0.547880782085304,0.009,0.0256666666666667,"."
"26","HG_2 vs HG_3",1,0.0182890348991,0.191424739967679,0.0233689188443223,0.858,0.924,""
"27","HG_2 vs ST",1,0.81892567768025,7.18032912779575,0.506358425328869,0.012,0.0258461538461538,"."
"28","HG_3 vs ST",1,0.919968224261117,8.22004383884948,0.540080168354551,0.011,0.0256666666666667,"."
