"","X","SampleCode","Sample_Type_Broad","RobCode","Fish_Number","Species","Gut_Zone","Gut_SubSection","Culture_Media","Gut_Section","Gut_SubSection1"
"1",12,"F4_GI_1","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_1","Fish_Gut","Foregut","GI_1"
"2",13,"F4_GI_2","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_2","Fish_Gut","Foregut","GI_2"
"3",14,"F4_GI_3","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_3","Fish_Gut","Midgut","GI_3"
"4",15,"F4_GI_4","Fish_Gut",NA,"F4","Kyphosus vaigiensis","GI","GI_4","Fish_Gut","Midgut","GI_4"
"5",16,"F4_HG_1","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_1","Fish_Gut","Hindgut","HG"
"6",17,"F4_HG_2","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_2","Fish_Gut","Hindgut","HG"
"7",18,"F4_HG_3","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_3","Fish_Gut","Hindgut","HG"
"8",20,"F4_STOM","Fish_Gut",NA,"F4","Kyphosus vaigiensis","ST","ST","Fish_Gut","Stomach","ST"
"9",21,"F5_GI_1","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_1","Fish_Gut","Foregut","GI_1"
"10",22,"F5_GI_2","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_2","Fish_Gut","Foregut","GI_2"
"11",23,"F5_GI_3","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_3","Fish_Gut","Midgut","GI_3"
"12",24,"F5_GI_4","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_4","Fish_Gut","Midgut","GI_4"
"13",25,"F5_HG_1","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_1","Fish_Gut","Hindgut","HG"
"14",26,"F5_HG_2","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_2","Fish_Gut","Hindgut","HG"
"15",27,"F5_HG_3","Fish_Gut",NA,"F5","Kyphosus vaigiensis","HG","HG_3","Fish_Gut","Hindgut","HG"
"16",29,"F5_STOM","Fish_Gut",NA,"F5","Kyphosus vaigiensis","ST","ST","Fish_Gut","Stomach","ST"
"17",47,"F8_GI_1","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_1","Fish_Gut","Foregut","GI_1"
"18",48,"F8_GI_2","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_2","Fish_Gut","Foregut","GI_2"
"19",49,"F8_GI_3","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_3","Fish_Gut","Midgut","GI_3"
"20",50,"F8_GI_4","Fish_Gut",NA,"F8","Kyphosus vaigiensis","GI","GI_4","Fish_Gut","Midgut","GI_4"
"21",51,"F8_HG_1","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_1","Fish_Gut","Hindgut","HG"
"22",52,"F8_HG_2","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_2","Fish_Gut","Hindgut","HG"
"23",53,"F8_HG_3","Fish_Gut",NA,"F8","Kyphosus vaigiensis","HG","HG_3","Fish_Gut","Hindgut","HG"
"24",55,"F8_STOM","Fish_Gut",NA,"F8","Kyphosus vaigiensis","ST","ST","Fish_Gut","Stomach","ST"
