"","SampleCode","Sample_Type_Broad","RobCode","Fish_Number","Species","Gut_Section","Gut_SubSection","Culture_Media","Ranked_Gut_SubSection_Distance_from_Stomach"
"1","F1_GI","Fish_Gut","","F1","Kyphosus cinerascens","GI","GI","Fish_Gut",NA
"2","F1_HG","Fish_Gut","","F1","Kyphosus cinerascens","HG","HG","Fish_Gut",NA
"3","F1_PC","Fish_Gut","","F1","Kyphosus cinerascens","PC","PC","Fish_Gut",1
"4","F1_STOM","Fish_Gut","","F1","Kyphosus cinerascens","ST","ST","Fish_Gut",0
"5","F2_GI","Fish_Gut","","F2","Kyphosus vaigiensis","GI","GI","Fish_Gut",NA
"6","F2_HG","Fish_Gut","","F2","Kyphosus vaigiensis","HG","HG","Fish_Gut",NA
"7","F2_PC","Fish_Gut","","F2","Kyphosus vaigiensis","PC","PC","Fish_Gut",1
"8","F3_GI","Fish_Gut","","F3","Kyphosus hawaiiensis","GI","GI","Fish_Gut",NA
"9","F3_HG","Fish_Gut","","F3","Kyphosus hawaiiensis","HG","HG","Fish_Gut",NA
"10","F3_PC","Fish_Gut","","F3","Kyphosus hawaiiensis","PC","PC","Fish_Gut",1
"11","F3_STOM","Fish_Gut","","F3","Kyphosus hawaiiensis","ST","ST","Fish_Gut",0
"12","F4_GI_1","Fish_Gut","","F4","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2
"13","F4_GI_2","Fish_Gut","","F4","Kyphosus vaigiensis","GI","GI_2","Fish_Gut",3
"14","F4_GI_3","Fish_Gut","","F4","Kyphosus vaigiensis","GI","GI_3","Fish_Gut",4
"15","F4_GI_4","Fish_Gut","","F4","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5
"16","F4_HG_1","Fish_Gut","","F4","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6
"17","F4_HG_2","Fish_Gut","","F4","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7
"18","F4_HG_3","Fish_Gut","","F4","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8
"19","F4_PC","Fish_Gut","","F4","Kyphosus vaigiensis","PC","PC","Fish_Gut",1
"20","F4_STOM","Fish_Gut","","F4","Kyphosus vaigiensis","ST","ST","Fish_Gut",0
"21","F5_GI_1","Fish_Gut","","F5","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2
"22","F5_GI_2","Fish_Gut","","F5","Kyphosus vaigiensis","GI","GI_2","Fish_Gut",3
"23","F5_GI_3","Fish_Gut","","F5","Kyphosus vaigiensis","GI","GI_3","Fish_Gut",4
"24","F5_GI_4","Fish_Gut","","F5","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5
"25","F5_HG_1","Fish_Gut","","F5","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6
"26","F5_HG_2","Fish_Gut","","F5","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7
"27","F5_HG_3","Fish_Gut","","F5","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8
"28","F5_PC","Fish_Gut","","F5","Kyphosus vaigiensis","PC","PC","Fish_Gut",1
"29","F5_STOM","Fish_Gut","","F5","Kyphosus vaigiensis","ST","ST","Fish_Gut",0
"30","F6_GI_1","Fish_Gut","","F6","Kyphosus cinerascens","GI","GI_1","Fish_Gut",2
"31","F6_GI_3","Fish_Gut","","F6","Kyphosus cinerascens","GI","GI_3","Fish_Gut",4
"32","F6_GI_4","Fish_Gut","","F6","Kyphosus cinerascens","GI","GI_4","Fish_Gut",5
"33","F6_HG_1","Fish_Gut","","F6","Kyphosus cinerascens","HG","HG_1","Fish_Gut",6
"34","F6_HG_2","Fish_Gut","","F6","Kyphosus cinerascens","HG","HG_2","Fish_Gut",7
"35","F6_HG_3","Fish_Gut","","F6","Kyphosus cinerascens","HG","HG_3","Fish_Gut",8
"36","F6_PC","Fish_Gut","","F6","Kyphosus cinerascens","PC","PC","Fish_Gut",1
"39","F7_GI_2","Fish_Gut","","F7","Kyphosus hawaiiensis","GI","GI_2","Fish_Gut",3
"40","F7_GI_3","Fish_Gut","","F7","Kyphosus hawaiiensis","GI","GI_3","Fish_Gut",4
"41","F7_GI_4","Fish_Gut","","F7","Kyphosus hawaiiensis","GI","GI_4","Fish_Gut",5
"42","F7_HG_1","Fish_Gut","","F7","Kyphosus hawaiiensis","HG","HG_1","Fish_Gut",6
"43","F7_HG_2","Fish_Gut","","F7","Kyphosus hawaiiensis","HG","HG_2","Fish_Gut",7
"44","F7_HG_3","Fish_Gut","","F7","Kyphosus hawaiiensis","HG","HG_3","Fish_Gut",8
"46","F7_STOM","Fish_Gut","","F7","Kyphosus hawaiiensis","ST","ST","Fish_Gut",0
"47","F8_GI_1","Fish_Gut","","F8","Kyphosus vaigiensis","GI","GI_1","Fish_Gut",2
"48","F8_GI_2","Fish_Gut","","F8","Kyphosus vaigiensis","GI","GI_2","Fish_Gut",3
"49","F8_GI_3","Fish_Gut","","F8","Kyphosus vaigiensis","GI","GI_3","Fish_Gut",4
"50","F8_GI_4","Fish_Gut","","F8","Kyphosus vaigiensis","GI","GI_4","Fish_Gut",5
"51","F8_HG_1","Fish_Gut","","F8","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6
"52","F8_HG_2","Fish_Gut","","F8","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7
"53","F8_HG_3","Fish_Gut","","F8","Kyphosus vaigiensis","HG","HG_3","Fish_Gut",8
"55","F8_STOM","Fish_Gut","","F8","Kyphosus vaigiensis","ST","ST","Fish_Gut",0
