"","SampleCode","Sample_Type_Broad","RobCode","Fish_Number","Species","Gut_Zone","Gut_SubSection","Culture_Media","Gut_Section"
"12","F4_GI_1","Fish_Gut","","F4","Kyphosus vaigiensis","GI","GI_1","Fish_Gut","Foregut"
"13","F4_GI_2","Fish_Gut","","F4","Kyphosus vaigiensis","GI","GI_2","Fish_Gut","Foregut"
"14","F4_GI_3","Fish_Gut","","F4","Kyphosus vaigiensis","GI","GI_3","Fish_Gut","Midgut"
"15","F4_GI_4","Fish_Gut","","F4","Kyphosus vaigiensis","GI","GI_4","Fish_Gut","Midgut"
"16","F4_HG_1","Fish_Gut","","F4","Kyphosus vaigiensis","HG","HG_1","Fish_Gut","Hindgut"
"17","F4_HG_2","Fish_Gut","","F4","Kyphosus vaigiensis","HG","HG_2","Fish_Gut","Hindgut"
"18","F4_HG_3","Fish_Gut","","F4","Kyphosus vaigiensis","HG","HG_3","Fish_Gut","Hindgut"
"20","F4_STOM","Fish_Gut","","F4","Kyphosus vaigiensis","ST","ST","Fish_Gut","Stomach"
"21","F5_GI_1","Fish_Gut","","F5","Kyphosus vaigiensis","GI","GI_1","Fish_Gut","Foregut"
"22","F5_GI_2","Fish_Gut","","F5","Kyphosus vaigiensis","GI","GI_2","Fish_Gut","Foregut"
"23","F5_GI_3","Fish_Gut","","F5","Kyphosus vaigiensis","GI","GI_3","Fish_Gut","Midgut"
"24","F5_GI_4","Fish_Gut","","F5","Kyphosus vaigiensis","GI","GI_4","Fish_Gut","Midgut"
"25","F5_HG_1","Fish_Gut","","F5","Kyphosus vaigiensis","HG","HG_1","Fish_Gut","Hindgut"
"26","F5_HG_2","Fish_Gut","","F5","Kyphosus vaigiensis","HG","HG_2","Fish_Gut","Hindgut"
"27","F5_HG_3","Fish_Gut","","F5","Kyphosus vaigiensis","HG","HG_3","Fish_Gut","Hindgut"
"29","F5_STOM","Fish_Gut","","F5","Kyphosus vaigiensis","ST","ST","Fish_Gut","Stomach"
"30","F6_GI_1","Fish_Gut","","F6","Kyphosus cinerascens","GI","GI_1","Fish_Gut","Foregut"
"31","F6_GI_3","Fish_Gut","","F6","Kyphosus cinerascens","GI","GI_3","Fish_Gut","Midgut"
"32","F6_GI_4","Fish_Gut","","F6","Kyphosus cinerascens","GI","GI_4","Fish_Gut","Midgut"
"33","F6_HG_1","Fish_Gut","","F6","Kyphosus cinerascens","HG","HG_1","Fish_Gut","Hindgut"
"34","F6_HG_2","Fish_Gut","","F6","Kyphosus cinerascens","HG","HG_2","Fish_Gut","Hindgut"
"35","F6_HG_3","Fish_Gut","","F6","Kyphosus cinerascens","HG","HG_3","Fish_Gut","Hindgut"
"39","F7_GI_2","Fish_Gut","","F7","Kyphosus hawaiiensis","GI","GI_2","Fish_Gut","Foregut"
"40","F7_GI_3","Fish_Gut","","F7","Kyphosus hawaiiensis","GI","GI_3","Fish_Gut","Midgut"
"41","F7_GI_4","Fish_Gut","","F7","Kyphosus hawaiiensis","GI","GI_4","Fish_Gut","Midgut"
"42","F7_HG_1","Fish_Gut","","F7","Kyphosus hawaiiensis","HG","HG_1","Fish_Gut","Hindgut"
"43","F7_HG_2","Fish_Gut","","F7","Kyphosus hawaiiensis","HG","HG_2","Fish_Gut","Hindgut"
"44","F7_HG_3","Fish_Gut","","F7","Kyphosus hawaiiensis","HG","HG_3","Fish_Gut","Hindgut"
"46","F7_STOM","Fish_Gut","","F7","Kyphosus hawaiiensis","ST","ST","Fish_Gut","Stomach"
"47","F8_GI_1","Fish_Gut","","F8","Kyphosus vaigiensis","GI","GI_1","Fish_Gut","Foregut"
"48","F8_GI_2","Fish_Gut","","F8","Kyphosus vaigiensis","GI","GI_2","Fish_Gut","Foregut"
"49","F8_GI_3","Fish_Gut","","F8","Kyphosus vaigiensis","GI","GI_3","Fish_Gut","Midgut"
"50","F8_GI_4","Fish_Gut","","F8","Kyphosus vaigiensis","GI","GI_4","Fish_Gut","Midgut"
"51","F8_HG_1","Fish_Gut","","F8","Kyphosus vaigiensis","HG","HG_1","Fish_Gut","Hindgut"
"52","F8_HG_2","Fish_Gut","","F8","Kyphosus vaigiensis","HG","HG_2","Fish_Gut","Hindgut"
"53","F8_HG_3","Fish_Gut","","F8","Kyphosus vaigiensis","HG","HG_3","Fish_Gut","Hindgut"
"55","F8_STOM","Fish_Gut","","F8","Kyphosus vaigiensis","ST","ST","Fish_Gut","Stomach"
